ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_fd v_fs c_fg v_d1 
14.9791 11.0378 1250.36 0 0 0 
16.2693 11.0422 1277.5 0 0 0 
17.5765 11.0414 1258.53 0 0 0 
18.873 11.0403 1271.91 0 0 0 
0.672466 12.3581 1273.48 0 0 0 
1.9697 12.3479 1278.66 0 0 0 
3.25641 12.3504 1314.62 0 0 0 
4.56107 12.3453 1300.6 0 0 0 
5.87164 12.3442 1272.29 0 0 0 
7.17758 12.3464 1257.59 0 0 0 
8.47451 12.341 1263.29 0 0 0 
9.77128 12.3536 1278.47 0 0 0 
11.0687 12.3505 1283.97 0 0 0 
12.376 12.3495 1265.49 0 0 0 
13.6789 12.3497 1259.73 0 0 0 
14.9628 12.3528 1305.44 0 0 0 
16.2849 12.3344 1234.13 0 0 0 
17.5703 12.3365 1274.97 0 0 0 
18.8664 12.3375 1299.72 0 0 0 
0.675136 13.6563 1268 0 0 0 
1.97641 13.6523 1264 0 0 0 
3.26931 13.6378 1275.15 0 0 0 
4.56853 13.6513 1284.64 0 0 0 
5.87274 13.6465 1271.11 0 0 0 
7.16588 13.638 1283.38 0 0 0 
8.47599 13.6386 1257.59 0 0 0 
9.7701 13.6461 1278.93 0 0 0 
11.0757 13.6474 1267.2 0 0 0 
12.3808 13.6478 1257.4 0 0 0 
13.6755 13.64 1262.82 0 0 0 
14.9674 13.6495 1298.23 0 0 0 
16.26 13.641 1304.32 0 0 0 
17.5785 13.6356 1271.44 0 0 0 
18.8582 13.6218 1276.51 0 0 0 
0.673781 14.9433 1265.34 0 0 0 
1.97712 14.9558 1266.86 0 0 0 
3.27998 14.9474 1253.92 0 0 0 
4.56113 14.9369 1294.28 0 0 0 
5.87061 14.9504 1281.41 0 0 0 
7.1794 14.9489 1259.11 0 0 0 
8.48167 14.9425 1248.28 0 0 0 
9.77228 14.9422 1271.81 0 0 0 
11.0728 14.9509 1283.1 0 0 0 
12.3853 14.9443 1249.13 0 0 0 
13.6785 14.9346 1252.79 0 0 0 
14.9791 14.9297 1247.1 0 0 0 
16.2745 14.9373 1277.93 0 0 0 
17.5723 14.9396 1299.5 0 0 0 
18.8696 14.9458 1336.7 0 0 0 
0.675118 16.2505 1268.58 0 0 0 
1.98487 16.2376 1234.4 0 0 0 
3.27376 16.2477 1271.78 0 0 0 
4.56208 16.2516 1305.33 0 0 0 
5.87384 16.2388 1263.86 0 0 0 
7.17967 16.262 1278.53 0 0 0 
8.46398 16.2571 1311.48 0 0 0 
9.76478 16.2435 1293.24 0 0 0 
11.0714 16.2424 1278.74 0 0 0 
12.3698 16.2479 1294.53 0 0 0 
13.6814 16.2503 1282.83 0 0 0 
14.9861 16.2486 1282.39 0 0 0 
16.2661 16.2227 1263.16 0 0 0 
17.5655 16.2269 1280.78 0 0 0 
18.8545 16.2421 1336.89 0 0 0 
0.685623 17.5562 1250.94 0 0 0 
1.97935 17.5483 1260.02 0 0 0 
3.2741 17.5494 1275.07 0 0 0 
4.57736 17.5414 1259.03 0 0 0 
5.87287 17.5545 1287.46 0 0 0 
7.16647 17.5424 1287.64 0 0 0 
8.47364 17.5303 1255.32 0 0 0 
9.77838 17.5372 1256.64 0 0 0 
11.0637 17.5424 1298.07 0 0 0 
12.3616 17.5406 1301.2 0 0 0 
13.6771 17.5477 1293.14 0 0 0 
14.967 17.5376 1293.68 0 0 0 
16.2636 17.5374 1304.08 0 0 0 
17.5772 17.5313 1287.27 0 0 0 
18.8628 17.5334 1312.74 0 0 0 
0.670561 18.8449 1277.75 0 0 0 
1.98191 18.8414 1248.33 0 0 0 
3.2743 18.8504 1278.6 0 0 0 
4.56982 18.848 1287.29 0 0 0 
5.88336 18.832 1235.6 0 0 0 
7.17421 18.8359 1262.64 0 0 0 
8.47728 18.8483 1278.35 0 0 0 
9.77362 18.837 1269.23 0 0 0 
11.0689 18.8335 1274.29 0 0 0 
12.3658 18.8487 1313.13 0 0 0 
13.6712 18.8424 1296.75 0 0 0 
14.9699 18.8387 1296.65 0 0 0 
16.2651 18.8327 1294.4 0 0 0 
17.5592 18.8372 1317.57 0 0 0 
18.8573 18.8424 1339.3 0 0 0 
ITEM: TIMESTEP
1000
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_fd v_fs c_fg v_d1 
0.737329 0.689544 1148.06 0 0 0 
2.04062 0.672774 1156.86 0 0 0 
3.3434 0.674886 1154.49 0 0 0 
4.60819 0.674528 1194.49 0 0 0 
5.92833 0.673491 1176.5 0 0 0 
7.2256 0.685786 1173.03 0 0 0 
8.53463 0.693762 1161.35 0 0 0 
9.82331 0.701636 1169.13 0 0 0 
11.1317 0.686924 1181.03 0 0 0 
12.4413 0.701998 1166.91 0 0 0 
13.735 0.698656 1185.22 0 0 0 
15.022 0.701591 1201.63 0 0 0 
16.3088 0.673365 1254.87 0 0 0 
17.628 0.685907 1253.04 0 0 0 
18.8898 0.691369 1268.9 0 0 0 
0.741119 1.96626 1154.66 0 0 0 
2.01526 1.96939 1185.21 0 0 0 
3.34313 1.96327 1158.78 0 0 0 
4.60905 1.9699 1194.55 0 0 0 
5.93481 1.94245 1187.4 0 0 0 
7.24606 1.98196 1151.31 0 0 0 
8.53657 1.97885 1167.04 0 0 0 
9.84495 1.98848 1155.8 0 0 0 
11.1193 1.98176 1190.9 0 0 0 
12.4431 1.98566 1174.69 0 0 0 
13.7227 1.9779 1208.56 0 0 0 
14.998 2.01605 1193.87 0 0 0 
16.3102 1.99379 1224.88 0 0 0 
17.609 2.03316 1194.17 0 0 0 
18.9051 2.00793 1246.8 0 0 0 
0.737144 3.25721 1160.34 0 0 0 
2.04557 3.26142 1151.07 0 0 0 
3.33362 3.25384 1170.27 0 0 0 
4.64957 3.27225 1143.93 0 0 0 
5.92102 3.24964 1191.18 0 0 0 
7.23847 3.28347 1153.69 0 0 0 
8.54401 3.27286 1157.36 0 0 0 
9.83849 3.2731 1167.12 0 0 0 
11.137 3.26264 1182.67 0 0 0 
12.4121 3.28568 1193.06 0 0 0 
13.7263 3.27824 1195.61 0 0 0 
15.0077 3.28985 1208.83 0 0 0 
16.3349 3.29516 1202.23 0 0 0 
17.5932 3.27709 1261.5 0 0 0 
18.8915 3.29209 1264.15 0 0 0 
0.750464 4.5584 1140.87 0 0 0 
2.03449 4.55672 1162.89 0 0 0 
3.35933 4.5546 1135.21 0 0 0 
4.62683 4.5711 1167.82 0 0 0 
5.94392 4.57197 1148.26 0 0 0 
7.2484 4.52605 1170.01 0 0 0 
8.54407 4.56492 1155.81 0 0 0 
9.84016 4.57552 1156.78 0 0 0 
11.1343 4.58576 1159.71 0 0 0 
12.4299 4.5842 1169.81 0 0 0 
13.769 4.57593 1148.58 0 0 0 
15.0416 4.58469 1177.46 0 0 0 
16.3189 4.59145 1203.08 0 0 0 
17.6244 4.60231 1209.89 0 0 0 
18.919 4.5855 1264.44 0 0 0 
0.742813 5.88026 1141.97 0 0 0 
2.05626 5.84486 1137.19 0 0 0 
3.34537 5.8589 1146.76 0 0 0 
4.62439 5.86197 1171.98 0 0 0 
5.93989 5.87323 1149.79 0 0 0 
7.2397 5.84737 1161.23 0 0 0 
8.55767 5.88215 1126.39 0 0 0 
9.85139 5.85553 1148.38 0 0 0 
11.1536 5.88136 1134.94 0 0 0 
12.4331 5.88004 1161.8 0 0 0 
13.7445 5.88893 1148.21 0 0 0 
15.0259 5.87478 1185.82 0 0 0 
16.3113 5.8737 1212.89 0 0 0 
17.6337 5.89667 1196.24 0 0 0 
18.8899 5.88643 1259.13 0 0 0 
0.737702 7.15136 1153.8 0 0 0 
2.02849 7.15981 1165.35 0 0 0 
3.3468 7.15161 1144.43 0 0 0 
4.65009 7.14126 1143.34 0 0 0 
5.95064 7.16987 1136.05 0 0 0 
7.25637 7.17537 1127.77 0 0 0 
8.53499 7.15008 1161.94 0 0 0 
9.8338 7.16435 1159.7 0 0 0 
11.161 7.18761 1119.2 0 0 0 
12.4559 7.15111 1142.63 0 0 0 
13.7378 7.18008 1152.74 0 0 0 
15.0414 7.18592 1149.16 0 0 0 
16.349 7.17618 1157.77 0 0 0 
17.6385 7.16199 1205.01 0 0 0 
18.9243 7.18254 1238.15 0 0 0 
0.731877 8.42567 1162.72 0 0 0 
2.03714 8.44718 1155.24 0 0 0 
3.32686 8.4435 1168.71 0 0 0 
4.65762 8.47395 1126.87 0 0 0 
5.9451 8.45375 1144.76 0 0 0 
7.24248 8.44798 1149.02 0 0 0 
8.56887 8.45649 1114.81 0 0 0 
9.82463 8.43994 1173.51 0 0 0 
11.1609 8.48792 1119.93 0 0 0 
12.4266 8.46634 1166.65 0 0 0 
13.7504 8.45207 1141.55 0 0 0 
15.0649 8.46607 1121.27 0 0 0 
16.3346 8.48474 1152.8 0 0 0 
17.6444 8.48161 1148.96 0 0 0 
18.9181 8.48315 1202.02 0 0 0 
0.754638 9.74709 1131.02 0 0 0 
2.05032 9.7802 1138.42 0 0 0 
3.33445 9.73275 1158.06 0 0 0 
4.66222 9.73183 1122.97 0 0 0 
5.95527 9.72718 1131.89 0 0 0 
7.2378 9.76269 1153.73 0 0 0 
8.55701 9.7674 1129.54 0 0 0 
9.83185 9.76152 1161.23 0 0 0 
11.1356 9.76453 1156.59 0 0 0 
12.4293 9.74655 1164.37 0 0 0 
13.7371 9.75709 1154.5 0 0 0 
15.0295 9.76365 1164.18 0 0 0 
16.3147 9.76799 1183.02 0 0 0 
17.6483 9.77265 1140.7 0 0 0 
18.9243 9.73701 1170.77 0 0 0 
0.752034 11.0477 1134.33 0 0 0 
2.03815 11.041 1152.87 0 0 0 
3.35317 11.0371 1133.67 0 0 0 
4.66599 11.0568 1118.82 0 0 0 
5.9405 11.0424 1149.95 0 0 0 
7.23128 11.0296 1160.77 0 0 0 
8.54633 11.0391 1142.33 0 0 0 
9.83845 11.0644 1155.1 0 0 0 
11.1586 11.0369 1126.7 0 0 0 
12.4432 11.0588 1149.18 0 0 0 
13.7343 11.0347 1156.97 0 0 0 
15.0527 11.0233 1131.99 0 0 0 
16.3338 11.0305 1157.24 0 0 0 
17.647 11.0267 1142.06 0 0 0 
18.9374 11.0185 1164.3 0 0 0 
0.740875 12.3629 1151.63 0 0 0 
